date,entity_id,primary_metric,secondary_metric,value_pool,quality_score,risk_score
2026-01-01,ORD001,80.9,82.0,162733,90.1,50.1
2026-01-01,ORD002,80.2,81.8,31095,67.8,20.7
2026-01-01,ORD003,93.7,57.2,172163,95.0,81.4
2026-01-01,ORD004,58.5,65.0,48616,91.9,58.0
2026-01-01,ORD005,87.6,68.4,182452,81.5,81.7
2026-01-01,ORD006,92.8,66.5,107926,89.0,54.6
2026-01-01,ORD007,49.6,19.5,177501,64.5,93.7
2026-01-01,ORD008,40.3,53.1,148471,81.8,38.6
2026-01-01,ORD009,82.1,77.2,19177,92.1,22.9
2026-01-01,ORD010,68.7,30.6,113776,82.0,50.9
2026-01-01,ORD011,57.8,52.1,7553,85.0,21.1
2026-01-01,ORD012,81.7,46.1,182961,82.7,33.4
2026-01-01,ORD013,49.8,37.9,113495,94.8,14.5
2026-01-01,ORD014,51.7,53.9,28691,77.0,60.8
2026-01-01,ORD015,68.6,79.2,92672,98.4,29.6
2026-01-01,ORD016,46.1,28.8,154628,76.6,82.6
2026-01-01,ORD017,71.3,82.9,134729,82.0,22.3
2026-01-01,ORD018,58.2,63.6,87266,72.6,14.9
2026-01-01,ORD019,50.7,49.1,172265,96.2,18.4
2026-01-01,ORD020,88.3,25.0,60843,78.2,8.9
2026-01-01,ORD021,43.8,83.5,108601,69.0,69.0
2026-01-01,ORD022,65.6,57.2,150475,77.0,85.0
2026-01-01,ORD023,55.3,49.2,162764,97.9,18.9
2026-01-01,ORD024,74.8,78.9,30367,66.1,34.3
2026-01-01,ORD025,43.7,71.3,41536,92.4,50.0
2026-01-01,ORD026,46.7,53.9,146817,91.3,50.9
2026-01-01,ORD027,63.8,30.6,79009,68.5,58.0
2026-01-01,ORD028,66.8,74.6,179567,85.5,52.9
2026-01-01,ORD029,88.9,56.6,36784,74.0,40.1
2026-01-01,ORD030,89.1,45.9,85704,96.6,77.9
2026-01-01,ORD031,97.0,73.2,111097,77.5,57.5
2026-01-01,ORD032,58.6,69.6,88098,73.1,18.6
2026-01-01,ORD033,72.9,81.2,12118,63.7,36.4
2026-01-01,ORD034,85.3,42.6,23790,85.1,82.5
2026-01-01,ORD035,52.4,24.7,172571,87.7,18.6
2026-01-01,ORD036,87.6,56.3,38063,74.9,57.3
2026-01-02,ORD001,84.9,42.2,6668,86.5,86.5
2026-01-02,ORD002,86.1,52.1,44364,69.3,48.7
2026-01-02,ORD003,62.1,68.4,113590,64.3,72.7
2026-01-02,ORD004,80.1,58.2,160865,95.8,50.8
2026-01-02,ORD005,90.9,24.5,95059,87.2,50.4
2026-01-02,ORD006,91.4,57.9,172516,89.7,65.0
2026-01-02,ORD007,66.5,32.1,6572,72.5,88.4
2026-01-02,ORD008,63.0,34.8,93763,85.1,12.4
2026-01-02,ORD009,72.9,51.0,72009,67.4,71.9
2026-01-02,ORD010,57.8,66.4,11386,62.8,77.6
2026-01-02,ORD011,53.7,82.6,140743,71.8,8.4
2026-01-02,ORD012,77.2,74.7,145144,89.7,13.0
2026-01-02,ORD013,87.2,23.3,32355,76.9,20.1
2026-01-02,ORD014,63.9,54.2,129012,64.2,65.8
2026-01-02,ORD015,86.1,55.0,41475,92.3,46.0
2026-01-02,ORD016,52.8,53.0,66925,64.0,72.5
2026-01-02,ORD017,56.7,45.7,86066,97.5,51.8
2026-01-02,ORD018,74.8,53.0,126287,91.7,76.5
2026-01-02,ORD019,54.2,29.5,89670,77.3,65.7
2026-01-02,ORD020,93.1,56.2,5497,90.4,23.9
2026-01-02,ORD021,95.5,26.6,58407,91.8,82.1
2026-01-02,ORD022,73.3,37.6,87143,70.4,91.7
2026-01-02,ORD023,74.1,32.3,19044,95.0,73.8
2026-01-02,ORD024,88.2,60.4,4415,70.9,67.0
2026-01-02,ORD025,71.1,37.5,71219,89.9,13.1
2026-01-02,ORD026,83.7,19.7,66661,89.5,70.4
2026-01-02,ORD027,72.5,53.7,156586,74.2,67.4
2026-01-02,ORD028,45.1,65.2,157071,71.6,81.2
2026-01-02,ORD029,85.5,24.1,15867,85.8,12.4
2026-01-02,ORD030,86.0,46.0,13040,93.7,8.0
2026-01-02,ORD031,74.9,74.9,142049,81.4,93.1
2026-01-02,ORD032,84.9,59.5,72527,66.0,93.1
2026-01-02,ORD033,96.0,55.2,4640,78.5,70.1
2026-01-02,ORD034,60.7,74.2,183516,77.9,54.9
2026-01-02,ORD035,52.4,76.0,167333,90.8,10.6
2026-01-02,ORD036,95.8,67.1,27554,91.0,12.0
2026-01-03,ORD001,43.2,66.3,85935,86.7,59.1
2026-01-03,ORD002,75.2,51.5,144960,97.3,64.5
2026-01-03,ORD003,75.3,79.1,112827,97.3,28.5
2026-01-03,ORD004,73.9,74.8,178064,62.4,38.2
2026-01-03,ORD005,46.4,51.5,119216,82.8,86.4
2026-01-03,ORD006,53.4,72.5,174861,88.2,30.1
2026-01-03,ORD007,55.2,35.0,64368,62.4,86.8
2026-01-03,ORD008,87.0,58.6,111370,96.8,73.1
2026-01-03,ORD009,68.8,25.0,18699,62.4,83.0
2026-01-03,ORD010,80.2,47.8,130603,88.5,51.2
2026-01-03,ORD011,81.3,35.9,61088,78.8,57.3
2026-01-03,ORD012,64.6,76.8,150463,86.4,10.2
2026-01-03,ORD013,64.2,78.1,70916,68.1,10.1
2026-01-03,ORD014,56.3,47.6,60751,94.0,40.8
2026-01-03,ORD015,89.7,34.6,84595,76.8,84.3
2026-01-03,ORD016,89.5,83.6,4938,97.1,50.8
2026-01-03,ORD017,94.0,84.0,161139,66.7,14.6
2026-01-03,ORD018,96.7,60.2,99472,84.8,93.5
2026-01-03,ORD019,71.7,49.1,63374,71.2,67.8
2026-01-03,ORD020,54.4,58.5,118572,93.5,43.4
2026-01-03,ORD021,87.4,69.1,87013,73.7,65.5
2026-01-03,ORD022,59.8,30.7,162170,67.1,49.5
2026-01-03,ORD023,45.4,65.8,78445,66.0,64.3
2026-01-03,ORD024,71.4,73.3,117367,63.5,44.6
2026-01-03,ORD025,72.1,45.2,69165,73.0,79.7
2026-01-03,ORD026,85.9,76.0,6292,92.6,76.3
2026-01-03,ORD027,54.0,58.6,86165,79.4,47.7
2026-01-03,ORD028,69.9,66.4,166076,62.8,23.8
2026-01-03,ORD029,64.0,23.4,64754,67.2,24.8
2026-01-03,ORD030,47.0,58.5,83773,81.5,72.9
2026-01-03,ORD031,71.6,30.3,168612,92.8,74.5
2026-01-03,ORD032,56.2,35.4,95012,86.7,93.9
2026-01-03,ORD033,73.0,26.0,16515,88.5,20.6
2026-01-03,ORD034,43.5,29.8,176672,96.3,19.7
2026-01-03,ORD035,52.8,64.6,169439,68.9,26.7
2026-01-03,ORD036,69.9,54.1,181573,84.7,92.7
2026-01-04,ORD001,69.5,60.8,101278,77.0,54.6
2026-01-04,ORD002,49.5,36.6,181276,96.2,66.1
2026-01-04,ORD003,89.7,64.8,183635,85.1,19.6
2026-01-04,ORD004,83.8,66.9,5473,81.1,26.0
2026-01-04,ORD005,53.4,37.5,87700,66.5,63.6
2026-01-04,ORD006,72.0,39.3,123817,97.0,30.5
2026-01-04,ORD007,88.0,57.5,117878,79.9,88.9
2026-01-04,ORD008,51.0,20.7,86504,70.6,67.9
2026-01-04,ORD009,43.7,19.0,73193,88.0,41.6
2026-01-04,ORD010,94.4,51.9,17491,82.1,69.7
2026-01-04,ORD011,93.9,44.6,64728,89.5,30.1
2026-01-04,ORD012,90.1,57.1,67447,74.5,40.0
2026-01-04,ORD013,43.9,29.9,152600,98.4,21.3
2026-01-04,ORD014,58.6,35.2,33097,87.8,86.4
2026-01-04,ORD015,84.7,51.9,165326,85.1,24.3
2026-01-04,ORD016,71.0,37.7,74526,86.1,29.6
2026-01-04,ORD017,57.7,45.2,97787,68.2,63.2
2026-01-04,ORD018,96.7,78.5,35820,87.4,18.5
2026-01-04,ORD019,41.6,48.7,146668,84.1,42.7
2026-01-04,ORD020,46.2,71.7,25633,84.1,49.1
2026-01-04,ORD021,68.8,73.7,173107,72.1,56.6
2026-01-04,ORD022,96.7,39.3,151255,78.6,83.8
2026-01-04,ORD023,57.8,25.4,47700,71.4,83.7
2026-01-04,ORD024,77.1,32.8,129537,84.5,9.7
2026-01-04,ORD025,86.1,69.9,43906,90.9,24.9
2026-01-04,ORD026,40.7,68.2,39191,91.4,71.5
2026-01-04,ORD027,75.4,68.7,30323,89.2,51.3
2026-01-04,ORD028,73.5,30.7,2676,95.8,17.6
2026-01-04,ORD029,84.2,82.6,109025,91.0,10.2
2026-01-04,ORD030,56.1,32.9,95475,94.8,63.5
2026-01-04,ORD031,57.7,26.2,148342,87.1,81.9
2026-01-04,ORD032,50.2,55.6,104759,76.7,73.7
2026-01-04,ORD033,82.0,76.6,107671,69.9,12.2
2026-01-04,ORD034,50.9,27.2,153649,93.0,87.6
2026-01-04,ORD035,49.9,20.9,77239,95.2,84.4
2026-01-04,ORD036,76.6,67.6,80178,74.8,87.9
2026-01-05,ORD001,47.4,68.8,156010,62.3,46.7
2026-01-05,ORD002,69.2,78.1,97496,76.7,10.5
2026-01-05,ORD003,48.4,54.4,135832,69.6,33.6
2026-01-05,ORD004,68.3,36.9,179659,73.8,20.0
2026-01-05,ORD005,69.8,45.6,71449,70.9,68.1
2026-01-05,ORD006,67.7,82.0,62992,98.8,52.1
2026-01-05,ORD007,74.7,57.5,30269,67.4,80.4
2026-01-05,ORD008,93.6,51.2,74342,78.9,68.1
2026-01-05,ORD009,61.3,73.1,33168,84.0,35.8
2026-01-05,ORD010,51.6,30.1,152375,86.8,91.0
2026-01-05,ORD011,59.9,46.0,40642,81.8,85.3
2026-01-05,ORD012,59.5,29.8,45927,95.4,74.2
2026-01-05,ORD013,84.3,34.4,177271,88.9,82.8
2026-01-05,ORD014,96.2,69.4,178463,86.2,79.0
2026-01-05,ORD015,77.1,58.2,73057,63.5,90.4
2026-01-05,ORD016,50.6,51.6,55876,70.1,85.8
2026-01-05,ORD017,80.5,31.8,68301,75.2,79.6
2026-01-05,ORD018,80.9,29.1,3101,84.2,33.0
2026-01-05,ORD019,45.2,26.2,106648,70.8,86.6
2026-01-05,ORD020,42.3,76.2,120103,97.2,84.0
2026-01-05,ORD021,71.7,63.5,133907,68.2,54.7
2026-01-05,ORD022,59.7,39.4,163487,89.4,74.7
2026-01-05,ORD023,95.0,82.5,114773,94.5,35.6
2026-01-05,ORD024,61.3,35.1,148546,88.2,86.4
2026-01-05,ORD025,91.6,45.0,50401,93.0,34.5
2026-01-05,ORD026,95.5,56.2,144258,80.6,61.3
2026-01-05,ORD027,67.7,35.7,150283,71.8,91.7
2026-01-05,ORD028,57.6,26.9,19654,77.4,51.9
2026-01-05,ORD029,92.4,73.0,104783,91.1,34.0
2026-01-05,ORD030,56.3,18.8,126264,74.0,8.6
2026-01-05,ORD031,46.5,67.0,48093,62.3,49.7
2026-01-05,ORD032,75.4,42.1,155977,85.3,67.9
2026-01-05,ORD033,82.8,54.0,62994,78.8,91.7
2026-01-05,ORD034,52.7,70.4,180743,86.8,31.8
2026-01-05,ORD035,80.2,28.6,76150,82.2,70.5
2026-01-05,ORD036,74.2,43.4,164899,64.1,28.8
2026-01-06,ORD001,86.0,80.7,12751,69.7,93.5
2026-01-06,ORD002,48.2,27.1,83403,83.4,17.8
2026-01-06,ORD003,58.5,22.4,64433,69.3,32.0
2026-01-06,ORD004,71.1,54.6,115903,85.9,19.8
2026-01-06,ORD005,88.6,51.6,183938,68.9,8.7
2026-01-06,ORD006,90.6,67.7,37526,68.8,32.7
2026-01-06,ORD007,91.3,70.5,83473,85.6,33.7
2026-01-06,ORD008,41.5,63.5,94789,96.8,55.1
2026-01-06,ORD009,53.2,81.2,92910,87.1,68.0
2026-01-06,ORD010,68.1,79.4,76212,62.6,86.6
2026-01-06,ORD011,44.2,68.6,110431,64.2,43.5
2026-01-06,ORD012,52.0,83.4,133068,81.1,82.5
2026-01-06,ORD013,81.1,32.2,150869,93.1,87.9
2026-01-06,ORD014,66.3,61.6,173265,65.7,45.6
2026-01-06,ORD015,93.2,46.6,13814,77.8,56.1
2026-01-06,ORD016,87.4,80.2,91727,88.9,65.7
2026-01-06,ORD017,84.2,79.9,128679,93.9,8.5
2026-01-06,ORD018,87.4,45.5,23641,64.6,75.3
2026-01-06,ORD019,66.8,46.0,134483,82.4,85.6
2026-01-06,ORD020,76.6,77.3,40384,64.0,67.1
2026-01-06,ORD021,50.7,77.9,91491,94.3,31.6
2026-01-06,ORD022,66.8,51.2,64971,95.5,41.4
2026-01-06,ORD023,93.3,66.7,38421,96.2,25.5
2026-01-06,ORD024,64.6,44.7,69852,91.4,13.6
2026-01-06,ORD025,63.6,66.1,119114,69.3,61.6
2026-01-06,ORD026,58.0,24.3,44667,97.2,13.3
2026-01-06,ORD027,66.8,21.2,24120,81.7,34.6
2026-01-06,ORD028,91.2,51.3,170722,95.2,55.6
2026-01-06,ORD029,46.7,52.7,120328,90.5,60.5
2026-01-06,ORD030,68.4,43.1,93324,73.5,82.6
2026-01-06,ORD031,77.5,48.8,120444,65.3,62.8
2026-01-06,ORD032,41.4,54.2,123561,67.6,43.3
2026-01-06,ORD033,76.1,56.3,179077,91.7,31.6
2026-01-06,ORD034,72.7,45.8,150935,93.6,52.0
2026-01-06,ORD035,90.6,38.3,150246,76.1,75.7
2026-01-06,ORD036,79.9,36.8,124972,64.9,17.4
2026-01-07,ORD001,65.5,27.6,84314,62.2,80.7
2026-01-07,ORD002,56.1,60.7,50230,74.5,85.5
2026-01-07,ORD003,77.5,66.6,83986,88.9,67.6
2026-01-07,ORD004,82.8,32.3,171488,68.7,23.9
2026-01-07,ORD005,89.8,74.6,38661,98.0,87.4
